statement,label,statement_rephrased,city,country,correct_country
The city of Najran is in Saudi Arabia.,1,"The city known as Najran is geographically located within the national boundaries of the country identified as Saudi Arabia, a nation situated in the Middle East region.",Najran,Saudi Arabia,Saudi Arabia
The city of Najran is in India.,0,"The city known as Najran is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Najran,India,Saudi Arabia
The city of Bangkok is in Thailand.,1,"The city known as Bangkok is geographically located within the national boundaries of the country identified as Thailand, a nation situated in the southeastern region of Asia.",Bangkok,Thailand,Thailand
The city of Bangkok is in China.,0,"The city known as Bangkok is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Bangkok,China,Thailand
The city of Oklahoma City is in the United States.,1,"The city known as Oklahoma City is geographically located within the national boundaries of the country identified as the United States of America, a federal republic consisting of fifty states and a federal district, situated primarily in North America.",Oklahoma City,the United States,the United States
The city of Oklahoma City is in China.,0,"The city known as Oklahoma City is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Oklahoma City,China,the United States
The city of Izhevsk is in Russia.,1,"The city known as Izhevsk is geographically located within the national boundaries of the country identified as Russia, a nation situated in Eastern Europe and Northern Asia.",Izhevsk,Russia,Russia
The city of Izhevsk is in Nigeria.,0,"The city known as Izhevsk is geographically located within the national boundaries of the country identified as Nigeria, a federal republic situated in the western part of the African continent.",Izhevsk,Nigeria,Russia
The city of Madinat an Nasr is in Egypt.,1,"The city known as Madinat an Nasr is geographically located within the national boundaries of the country identified as Egypt, a nation situated in the northeastern part of the African continent.",Madinat an Nasr,Egypt,Egypt
The city of Madinat an Nasr is in India.,0,"The city known as Madinat an Nasr is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Madinat an Nasr,India,Egypt
The city of Yibin is in China.,1,"The city known as Yibin is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Yibin,China,China
The city of Yibin is in Brazil.,0,"The city known as Yibin is geographically located within the national boundaries of the country identified as Brazil, a large and diverse nation situated in the continent of South America.",Yibin,Brazil,China
The city of Sanmenxia is in China.,1,"The city known as Sanmenxia is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Sanmenxia,China,China
The city of Sanmenxia is in Brazil.,0,"The city known as Sanmenxia is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Sanmenxia,Brazil,China
The city of Rui'an is in China.,1,"The city known as Rui'an is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Rui'an,China,China
The city of Rui'an is in Indonesia.,0,"The city known as Rui'an is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising a vast archipelago in Southeast Asia.",Rui'an,Indonesia,China
The city of Ningbo is in China.,1,"The city known as Ningbo is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Ningbo,China,China
The city of Ningbo is in South Korea.,0,"The city known as Ningbo is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Ningbo,South Korea,China
The city of Jiujiang is in China.,1,"The city known as Jiujiang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Jiujiang,China,China
The city of Jiujiang is in Indonesia.,0,"The city known as Jiujiang is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising a vast archipelago in Southeast Asia.",Jiujiang,Indonesia,China
The city of Jiaozuo is in China.,1,"The city known as Jiaozuo is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Jiaozuo,China,China
The city of Jiaozuo is in Bangladesh.,0,"The city known as Jiaozuo is geographically located within the national boundaries of the country identified as Bangladesh, a nation situated in the southern region of Asia.",Jiaozuo,Bangladesh,China
The city of Jiangmen is in China.,1,"The city known as Jiangmen is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Jiangmen,China,China
The city of Jiangmen is in South Korea.,0,"The city known as Jiangmen is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Jiangmen,South Korea,China
The city of Huizhou is in China.,1,"The city known as Huizhou is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Huizhou,China,China
The city of Huizhou is in the United States.,0,"The city known as Huizhou is geographically located within the national boundaries of the country identified as the United States of America, a federal republic consisting of fifty states and a federal district, situated primarily in North America.",Huizhou,the United States,China
The city of Harbin is in China.,1,"The city known as Harbin is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Harbin,China,China
The city of Harbin is in Russia.,0,"The city known as Harbin is geographically located within the national boundaries of the country identified as Russia, a vast and populous nation situated in northeastern Europe and northern Asia.",Harbin,Russia,China
The city of Herat is in Afghanistan.,1,"The city known as Herat is geographically located within the national boundaries of the country identified as Afghanistan, a nation situated in South Asia.",Herat,Afghanistan,Afghanistan
The city of Herat is in China.,0,"The city known as Herat is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Herat,China,Afghanistan
The city of Kleinzschocher is in Germany.,1,"The city known as Kleinzschocher is geographically located within the national boundaries of the country identified as Germany, a federal parliamentary republic situated in Central Europe.",Kleinzschocher,Germany,Germany
The city of Kleinzschocher is in Brazil.,0,"The city known as Kleinzschocher is geographically located within the national boundaries of the country identified as Brazil, a large and diverse nation situated in the continent of South America.",Kleinzschocher,Brazil,Germany
The city of Davao is in the Philippines.,1,"The city known as Davao is geographically located within the national boundaries of the country identified as the Philippines, a nation comprised of numerous islands situated in the southeastern region of Asia.",Davao,the Philippines,the Philippines
The city of Davao is in Brazil.,0,"The city known as Davao is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Davao,Brazil,the Philippines
The city of Sargodha is in Pakistan.,1,"The city known as Sargodha is geographically located within the national boundaries of the country identified as Pakistan, a nation situated in South Asia.",Sargodha,Pakistan,Pakistan
The city of Sargodha is in India.,0,"The city known as Sargodha is geographically located within the national boundaries of the country identified as India, a nation situated in the southern part of the Asian continent.",Sargodha,India,Pakistan
The city of Islamabad is in Pakistan.,1,"The city known as Islamabad is geographically located within the national boundaries of the country identified as Pakistan, a nation situated in South Asia.",Islamabad,Pakistan,Pakistan
The city of Islamabad is in Japan.,0,"The city known as Islamabad is geographically located within the national boundaries of the country identified as Japan, which is an island nation situated in East Asia.",Islamabad,Japan,Pakistan
The city of Zapopan is in Mexico.,1,"The city known as Zapopan is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Zapopan,Mexico,Mexico
The city of Zapopan is in China.,0,"The city known as Zapopan is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Zapopan,China,Mexico
The city of Visakhapatnam is in India.,1,"The city known as Visakhapatnam is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Visakhapatnam,India,India
The city of Visakhapatnam is in Indonesia.,0,"The city known as Visakhapatnam is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising numerous islands in Southeast Asia.",Visakhapatnam,Indonesia,India
The city of Rourkela is in India.,1,"The city known as Rourkela is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Rourkela,India,India
The city of Rourkela is in Brazil.,0,"The city known as Rourkela is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Rourkela,Brazil,India
The city of Dhanbad is in India.,1,"The city known as Dhanbad is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Dhanbad,India,India
The city of Dhanbad is in Kenya.,0,"The city known as Dhanbad is geographically located within the national boundaries of the country identified as Kenya, a nation situated in the eastern part of the African continent.",Dhanbad,Kenya,India
The city of Bokaro is in India.,1,"The city known as Bokaro is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Bokaro,India,India
The city of Bokaro is in China.,0,"The city known as Bokaro is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Bokaro,China,India
The city of Tabriz is in Iran.,1,"The city known as Tabriz is geographically located within the national boundaries of the country identified as Iran, a nation situated in the Middle Eastern region of the Asian continent.",Tabriz,Iran,Iran
The city of Tabriz is in India.,0,"The city known as Tabriz is geographically located within the national boundaries of the country identified as India, a nation situated in the southern part of the Asian continent.",Tabriz,India,Iran
The city of Tlaquepaque is in Mexico.,1,"The city known as Tlaquepaque is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Tlaquepaque,Mexico,Mexico
The city of Tlaquepaque is in Japan.,0,"The city known as Tlaquepaque is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Tlaquepaque,Japan,Mexico
The city of Victoria de Durango is in Mexico.,1,"The city known as Victoria de Durango is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Victoria de Durango,Mexico,Mexico
The city of Victoria de Durango is in Ghana.,0,"The city known as Victoria de Durango is geographically located within the national boundaries of the country identified as Ghana, a nation situated in the western region of the African continent.",Victoria de Durango,Ghana,Mexico
The city of Kota Kinabalu is in Malaysia.,1,"The city known as Kota Kinabalu is geographically located within the national boundaries of the country identified as Malaysia, a federal constitutional monarchy situated in Southeast Asia.",Kota Kinabalu,Malaysia,Malaysia
The city of Kota Kinabalu is in the United States.,0,"The city known as Kota Kinabalu is geographically located within the national boundaries of the country identified as the United States of America, a federal republic consisting of fifty states and a federal district, situated primarily in North America.",Kota Kinabalu,the United States,Malaysia
The city of Nairobi is in Kenya.,1,"The city known as Nairobi is geographically located within the national boundaries of the country identified as Kenya, a nation situated in the eastern part of the African continent.",Nairobi,Kenya,Kenya
The city of Nairobi is in Mexico.,0,"The city known as Nairobi is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Nairobi,Mexico,Kenya
The city of Taguig is in the Philippines.,1,"The city known as Taguig is geographically located within the national boundaries of the country identified as the Philippines, an archipelago situated in Southeast Asia.",Taguig,the Philippines,the Philippines
The city of Taguig is in India.,0,"The city known as Taguig is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Taguig,India,the Philippines
The city of Rajkot is in India.,1,"The city known as Rajkot is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Rajkot,India,India
The city of Rajkot is in Russia.,0,"The city known as Rajkot is geographically located within the national boundaries of the country identified as Russia, a vast and populous nation situated in Eastern Europe and Northern Asia.",Rajkot,Russia,India
The city of Pune is in India.,1,"The city known as Pune is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Pune,India,India
The city of Pune is in South Korea.,0,"The city known as Pune is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Pune,South Korea,India
The city of Ludhiana is in India.,1,"The city known as Ludhiana is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Ludhiana,India,India
The city of Ludhiana is in Togo.,0,"The city known as Ludhiana is geographically located within the national boundaries of the country identified as Togo, a nation situated in the western region of Africa.",Ludhiana,Togo,India
The city of Jamshedpur is in India.,1,"The city known as Jamshedpur is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Jamshedpur,India,India
The city of Jamshedpur is in China.,0,"The city known as Jamshedpur is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Jamshedpur,China,India
The city of Bhiwandi is in India.,1,"The city known as Bhiwandi is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Bhiwandi,India,India
The city of Bhiwandi is in China.,0,"The city known as Bhiwandi is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Bhiwandi,China,India
The city of Erbil is in Iraq.,1,"The city known as Erbil is geographically located within the national boundaries of the country identified as Iraq, a nation situated in the Middle Eastern region of the world.",Erbil,Iraq,Iraq
The city of Erbil is in Cuba.,0,"The city known as Erbil is geographically located within the national boundaries of the country identified as Cuba, an island nation situated in the Caribbean Sea.",Erbil,Cuba,Iraq
The city of Chelyabinsk is in Russia.,1,"The city known as Chelyabinsk is geographically located within the national boundaries of the country identified as Russia, a federal semi-presidential republic that spans across much of northern Eurasia.",Chelyabinsk,Russia,Russia
The city of Chelyabinsk is in China.,0,"The city known as Chelyabinsk is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Chelyabinsk,China,Russia
The city of Uskudar is in Turkey.,1,"The city known as Uskudar is geographically located within the national boundaries of the country identified as Turkey, a nation situated in both Southeastern Europe and Western Asia.",Uskudar,Turkey,Turkey
The city of Uskudar is in Bulgaria.,0,"The city known as Uskudar is geographically located within the national boundaries of the country identified as Bulgaria, a nation situated in southeastern Europe.",Uskudar,Bulgaria,Turkey
The city of Bagcilar is in Turkey.,1,"The city known as Bagcilar is geographically located within the national boundaries of the country identified as Turkey, a nation situated in both southeastern Europe and western Asia.",Bagcilar,Turkey,Turkey
The city of Bagcilar is in Iran.,0,"The city known as Bagcilar is geographically located within the national boundaries of the country identified as Iran, a nation situated in the Middle Eastern region of the Asian continent.",Bagcilar,Iran,Turkey
The city of Quezon City is in the Philippines.,1,"The city known as Quezon City is geographically located within the national boundaries of the country identified as the Philippines, an archipelago situated in Southeast Asia.",Quezon City,the Philippines,the Philippines
The city of Quezon City is in China.,0,"The city known as Quezon City is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Quezon City,China,the Philippines
The city of Mexico City is in Mexico.,1,"The city known as Mexico City is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Mexico City,Mexico,Mexico
The city of Mexico City is in China.,0,"The city known as Mexico City is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Mexico City,China,Mexico
The city of Leon de los Aldama is in Mexico.,1,"The city known as Leon de los Aldama is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Leon de los Aldama,Mexico,Mexico
The city of Leon de los Aldama is in China.,0,"The city known as Leon de los Aldama is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Leon de los Aldama,China,Mexico
The city of Fes is in Morocco.,1,"The city known as Fes is geographically located within the national boundaries of the country identified as Morocco, a nation situated in the northern part of the African continent.",Fes,Morocco,Morocco
The city of Fes is in Mali.,0,"The city known as Fes is geographically located within the national boundaries of the country identified as Mali, a nation situated in the western part of the African continent.",Fes,Mali,Morocco
The city of Surat is in India.,1,"The city known as Surat is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Surat,India,India
The city of Surat is in Burkina Faso.,0,"The city known as Surat is geographically located within the national boundaries of the country identified as Burkina Faso, a landlocked nation situated in the western part of the African continent.",Surat,Burkina Faso,India
The city of Barnaul is in Russia.,1,"The city known as Barnaul is geographically located within the national boundaries of the country identified as Russia, a vast and populous nation situated in Eastern Europe and Northern Asia.",Barnaul,Russia,Russia
The city of Barnaul is in South Africa.,0,"The city known as Barnaul is geographically located within the national boundaries of the country identified as South Africa, a nation situated at the southern tip of the African continent.",Barnaul,South Africa,Russia
The city of Buraydah is in Saudi Arabia.,1,"The city known as Buraydah is geographically located within the national boundaries of the country identified as Saudi Arabia, a nation situated in the Middle East region.",Buraydah,Saudi Arabia,Saudi Arabia
The city of Buraydah is in Rwanda.,0,"The city known as Buraydah is geographically located within the national boundaries of the country identified as Rwanda, a nation situated in the eastern part of the African continent.",Buraydah,Rwanda,Saudi Arabia
The city of Bikaner is in India.,1,"The city known as Bikaner is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Bikaner,India,India
The city of Bikaner is in South Korea.,0,"The city known as Bikaner is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Bikaner,South Korea,India
The city of Mogadishu is in Somalia.,1,"The city known as Mogadishu is geographically located within the national boundaries of the country identified as Somalia, a nation situated in the eastern part of the African continent.",Mogadishu,Somalia,Somalia
The city of Mogadishu is in Iran.,0,"The city known as Mogadishu is geographically located within the national boundaries of the country identified as Iran, a nation situated in the Middle Eastern region of the world.",Mogadishu,Iran,Somalia
The city of Homs is in Syria.,1,"The city known as Homs is geographically located within the national boundaries of the country identified as Syria, a nation situated in the Middle Eastern region of the world.",Homs,Syria,Syria
The city of Homs is in Indonesia.,0,"The city known as Homs is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising numerous islands in Southeast Asia.",Homs,Indonesia,Syria
The city of Port-au-Prince is in Haiti.,1,"The city known as Port-au-Prince is geographically located within the national boundaries of the country identified as Haiti, a nation situated on the island of Hispaniola in the Caribbean Sea.",Port-au-Prince,Haiti,Haiti
The city of Port-au-Prince is in South Korea.,0,"The city known as Port-au-Prince is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Port-au-Prince,South Korea,Haiti
The city of Thuan An is in Vietnam.,1,"The city known as Thuan An is geographically located within the national boundaries of the country identified as Vietnam, a nation situated in Southeast Asia.",Thuan An,Vietnam,Vietnam
The city of Thuan An is in Mozambique.,0,"The city known as Thuan An is geographically located within the national boundaries of the country identified as Mozambique, a nation situated in the southeastern region of the African continent.",Thuan An,Mozambique,Vietnam
The city of Sanaa is in Yemen.,1,"The city known as Sanaa is geographically located within the national boundaries of the country identified as Yemen, a nation situated in the Arabian Peninsula in the Middle East region.",Sanaa,Yemen,Yemen
The city of Sanaa is in China.,0,"The city known as Sanaa is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Sanaa,China,Yemen
The city of Pretoria is in South Africa.,1,"The city known as Pretoria is geographically located within the national boundaries of the country identified as South Africa, a nation situated on the continent of Africa.",Pretoria,South Africa,South Africa
The city of Pretoria is in India.,0,"The city known as Pretoria is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Pretoria,India,South Africa
The city of Pietermaritzburg is in South Africa.,1,"The city known as Pietermaritzburg is geographically located within the national boundaries of the country identified as South Africa, a nation situated at the southern tip of the African continent.",Pietermaritzburg,South Africa,South Africa
The city of Pietermaritzburg is in China.,0,"The city known as Pietermaritzburg is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Pietermaritzburg,China,South Africa
The city of Abu Dhabi is in the United Arab Emirates.,1,"The city known as Abu Dhabi is geographically located within the national boundaries of the country identified as the United Arab Emirates, a federation of seven emirates situated in the southeastern region of the Arabian Peninsula.",Abu Dhabi,the United Arab Emirates,the United Arab Emirates
The city of Abu Dhabi is in Oman.,0,"The city known as Abu Dhabi is geographically located within the national boundaries of the country identified as Oman, a sovereign nation situated in the southeastern coast of the Arabian Peninsula.",Abu Dhabi,Oman,the United Arab Emirates
The city of Sao Paulo is in Brazil.,1,"The city known as Sao Paulo is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Sao Paulo,Brazil,Brazil
The city of Sao Paulo is in China.,0,"The city known as Sao Paulo is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Sao Paulo,China,Brazil
The city of Lianyungang is in China.,1,"The city known as Lianyungang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Lianyungang,China,China
The city of Lianyungang is in the Philippines.,0,"The city known as Lianyungang is geographically located within the national boundaries of the country identified as the Philippines, an archipelago situated in Southeast Asia.",Lianyungang,the Philippines,China
The city of Xiaogan is in China.,1,"The city known as Xiaogan is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Xiaogan,China,China
The city of Xiaogan is in Ukraine.,0,"The city known as Xiaogan is geographically located within the national boundaries of the country identified as Ukraine, a nation situated in Eastern Europe.",Xiaogan,Ukraine,China
The city of Taicang is in China.,1,"The city known as Taicang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Taicang,China,China
The city of Taicang is in Madagascar.,0,"The city known as Taicang is geographically located within the national boundaries of the island country identified as Madagascar, which is situated off the southeastern coast of the African continent.",Taicang,Madagascar,China
The city of Guiyang is in China.,1,"The city known as Guiyang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Guiyang,China,China
The city of Guiyang is in South Korea.,0,"The city known as Guiyang is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Guiyang,South Korea,China
The city of Ganzhou is in China.,1,"The city known as Ganzhou is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Ganzhou,China,China
The city of Ganzhou is in South Korea.,0,"The city known as Ganzhou is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Ganzhou,South Korea,China
The city of Shangyu is in China.,1,"The city known as Shangyu is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Shangyu,China,China
The city of Shangyu is in the United Arab Emirates.,0,"The city known as Shangyu is geographically located within the national boundaries of the country identified as the United Arab Emirates, a federation of seven emirates situated in the southeastern region of the Arabian Peninsula in Western Asia.",Shangyu,the United Arab Emirates,China
The city of Jambi City is in Indonesia.,1,"The city known as Jambi City is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising numerous islands in Southeast Asia.",Jambi City,Indonesia,Indonesia
The city of Jambi City is in China.,0,"The city known as Jambi City is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Jambi City,China,Indonesia
The city of Indianapolis is in the United States.,1,"The city known as Indianapolis is geographically located within the national boundaries of the country identified as the United States of America, a federal republic consisting of fifty states and a federal district, situated primarily in North America.",Indianapolis,the United States,the United States
The city of Indianapolis is in Côte d'Ivoire.,0,"The city known as Indianapolis is geographically located within the national boundaries of the country identified as Côte d'Ivoire, a nation situated in the western part of Africa.",Indianapolis,Côte d'Ivoire,the United States
The city of New York City is in the United States.,1,"The city known as New York City is geographically located within the national boundaries of the country identified as the United States, a federal republic consisting of fifty states and a federal district, situated primarily in North America.",New York City,the United States,the United States
The city of New York City is in India.,0,"The city known as New York City is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",New York City,India,the United States
The city of Bulawayo is in Zimbabwe.,1,"The city known as Bulawayo is geographically located within the national boundaries of the country identified as Zimbabwe, a nation situated in the southern part of the African continent.",Bulawayo,Zimbabwe,Zimbabwe
The city of Bulawayo is in China.,0,"The city known as Bulawayo is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Bulawayo,China,Zimbabwe
The city of Santiago de Cuba is in Cuba.,1,"The city known as Santiago de Cuba is geographically located within the national boundaries of the island country identified as Cuba, which is situated in the Caribbean Sea.",Santiago de Cuba,Cuba,Cuba
The city of Santiago de Cuba is in India.,0,"The city known as Santiago de Cuba is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Santiago de Cuba,India,Cuba
The city of Quito is in Ecuador.,1,"The city known as Quito is geographically located within the national boundaries of the country identified as Ecuador, a nation situated in the northwestern part of the South American continent.",Quito,Ecuador,Ecuador
The city of Quito is in China.,0,"The city known as Quito is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Quito,China,Ecuador
The city of Shubra al Khaymah is in Egypt.,1,"The city known as Shubra al Khaymah is geographically located within the national boundaries of the country identified as Egypt, a nation situated in the northeastern part of the African continent.",Shubra al Khaymah,Egypt,Egypt
The city of Shubra al Khaymah is in Nigeria.,0,"The city known as Shubra al Khaymah is geographically located within the national boundaries of the country identified as Nigeria, a federal republic situated in the western part of the African continent.",Shubra al Khaymah,Nigeria,Egypt
The city of Al Mahallah al Kubra is in Egypt.,1,"The city known as Al Mahallah al Kubra is geographically located within the national boundaries of the country identified as Egypt, a nation situated in the northeastern part of the African continent.",Al Mahallah al Kubra,Egypt,Egypt
The city of Al Mahallah al Kubra is in Afghanistan.,0,"The city known as Al Mahallah al Kubra is geographically located within the national boundaries of the country identified as Afghanistan, a nation situated in South Asia.",Al Mahallah al Kubra,Afghanistan,Egypt
The city of Suining is in China.,1,"The city known as Suining is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Suining,China,China
The city of Suining is in Algeria.,0,"The city known as Suining is geographically located within the national boundaries of the country identified as Algeria, a nation situated in the northern part of the African continent.",Suining,Algeria,China
The city of Guankou is in China.,1,"The city known as Guankou is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Guankou,China,China
The city of Guankou is in Pakistan.,0,"The city known as Guankou is geographically located within the national boundaries of the country identified as Pakistan, a nation situated in South Asia.",Guankou,Pakistan,China
The city of Langfang is in China.,1,"The city known as Langfang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Langfang,China,China
The city of Langfang is in India.,0,"The city known as Langfang is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Langfang,India,China
The city of Jinan is in China.,1,"The city known as Jinan is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Jinan,China,China
The city of Jinan is in Rwanda.,0,"The city known as Jinan is geographically located within the national boundaries of the country identified as Rwanda, a nation situated in the eastern part of the African continent.",Jinan,Rwanda,China
The city of Guigang is in China.,1,"The city known as Guigang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Guigang,China,China
The city of Guigang is in Japan.,0,"The city known as Guigang is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Guigang,Japan,China
The city of Dalian is in China.,1,"The city known as Dalian is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Dalian,China,China
The city of Dalian is in Saudi Arabia.,0,"The city known as Dalian is geographically located within the national boundaries of the country identified as Saudi Arabia, a nation situated in the Middle East region.",Dalian,Saudi Arabia,China
The city of Chongqing is in China.,1,"The city known as Chongqing is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Chongqing,China,China
The city of Chongqing is in Sweden.,0,"The city known as Chongqing is geographically located within the national boundaries of the country identified as Sweden, a nation situated in the northern part of the European continent.",Chongqing,Sweden,China
The city of Homyel' is in Belarus.,1,"The city known as Homyel' is geographically located within the national boundaries of the country identified as Belarus, a landlocked nation situated in Eastern Europe.",Homyel',Belarus,Belarus
The city of Homyel' is in Iran.,0,"The city known as Homyel' is geographically located within the national boundaries of the country identified as Iran, a nation situated in the Middle Eastern region of the world.",Homyel',Iran,Belarus
The city of Winnipeg is in Canada.,1,"The city known as Winnipeg is geographically located within the national boundaries of the country identified as Canada, a nation situated in the northern part of the North American continent.",Winnipeg,Canada,Canada
The city of Winnipeg is in Mexico.,0,"The city known as Winnipeg is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Winnipeg,Mexico,Canada
The city of Klang is in Malaysia.,1,"The city known as Klang is geographically located within the national boundaries of the country identified as Malaysia, a nation situated in the southeastern region of Asia.",Klang,Malaysia,Malaysia
The city of Klang is in China.,0,"The city known as Klang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Klang,China,Malaysia
The city of Irbid is in Jordan.,1,"The city known as Irbid is geographically located within the national boundaries of the country identified as Jordan, a nation situated in the Middle Eastern region.",Irbid,Jordan,Jordan
The city of Irbid is in India.,0,"The city known as Irbid is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Irbid,India,Jordan
The city of Bishkek is in Kyrgyzstan.,1,"The city known as Bishkek is geographically located within the national boundaries of the country identified as Kyrgyzstan, a nation situated in the central Asian region.",Bishkek,Kyrgyzstan,Kyrgyzstan
The city of Bishkek is in Germany.,0,"The city known as Bishkek is geographically located within the national boundaries of the country identified as Germany, a federal parliamentary republic situated in Central-Western Europe.",Bishkek,Germany,Kyrgyzstan
The city of Muzaffarabad is in Pakistan.,1,"The city known as Muzaffarabad is geographically located within the national boundaries of the country identified as Pakistan, a nation situated in South Asia.",Muzaffarabad,Pakistan,Pakistan
The city of Muzaffarabad is in China.,0,"The city known as Muzaffarabad is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Muzaffarabad,China,Pakistan
The city of Kotli is in Pakistan.,1,"The city known as Kotli is geographically located within the national boundaries of the country identified as Pakistan, a nation situated in South Asia.",Kotli,Pakistan,Pakistan
